,Team,Total Points,Points Per Game,Scoring Margin,FG: Made-Attempted,FG: Percentage,FG: Per Game,3PT: Made-Attempted,3PT: Percentage,3PT: Per Game,FT: Made-Attempted,FT: Percentage,FT: Per Game,Total Rebounds,Rebounds Per Game,Rebound Margin,Total Assists,Assists Per Game,Total Turnovers,Turnovers Per Game,Turnovers Margin,Assist/Turnover Ratio,Points Off Turnovers,Total Steals,Steals Per Game,Total Blocks,Blocks Per Game,Total Attendance,Attendance Per Game,Season
0,Illinois,2311,70.0,11.3,848-1853,.458,25.7,241-668,.361,7.3,374-582,.643,11.3,1179,35.7,5.9,500,15.2,406,12.3,1.8,1.2,15.2,203,6.2,79,2.4,265888,"16-16,618",2005-06
1,Opponents,1937,58.7,--,670-1656,.405,20.3,170-536,.317,5.2,427-615,.694,12.9,984,29.8,--,338,10.2,464,14.1,--,0.7,11.7,179,5.4,78,2.4,138805,"9-15,423",2005-06
0,Illinois,2245,64.1,7.1,790-1830,.432,22.6,241-691,.349,6.9,424-680,.624,12.1,1231,35.2,5.2,488,13.9,491,14.0,0.7,1.0,13.7,205,5.9,99,2.8,282506,"17-16,618",2006-07
1,Opponents,1997,57.1,--,693-1726,.402,19.8,195-599,.326,5.6,416-599,.694,11.9,1049,30.0,--,381,10.9,514,14.7,--,0.7,9.7,190,5.4,112,3.2,102904,"8-12,863",2006-07
0,Illinois,2227,63.6,2.5,809-1860,.435,23.1,196-614,.319,5.6,413-679,.608,11.8,1266,36.2,4.7,482,13.8,478,13.7,-0.8,1.0,11.6,171,4.9,94,2.7,249270,"15-16,618",2007-08
1,Opponents,2139,61.1,--,720-1806,.399,20.6,215-641,.335,6.1,484-672,.720,13.8,1100,31.4,--,380,10.9,451,12.9,--,0.8,11.0,191,5.5,111,3.2,156660,"11-14,242",2007-08
0,Illinois,2204,64.8,7.6,859-1865,.461,25.3,188-537,.350,5.5,298-419,.711,8.8,1127,33.1,-0.1,595,17.5,420,12.4,1.4,1.4,15.0,199,5.9,122,3.6,263477,"17-15,499",2008-09
1,Opponents,1944,57.2,--,730-1847,.395,21.5,173-584,.296,5.1,311-493,.631,9.1,1131,33.3,--,396,11.6,467,13.7,--,0.8,12.0,196,5.8,80,2.4,143795,"10-14,380",2008-09
0,Illinois,2547,70.8,3.9,957-2127,.450,26.6,219-645,.340,6.1,414-581,.713,11.5,1337,37.1,2.7,570,15.8,443,12.3,-0.3,1.3,13.1,202,5.6,144,4.0,272081,"19-14,320",2009-10
1,Opponents,2406,66.8,--,838-2094,.400,23.3,267-831,.321,7.4,463-665,.696,12.9,1240,34.4,--,461,12.8,433,12.0,--,1.1,13.6,221,6.1,61,1.7,127923,"10-12,792",2009-10
0,Illinois,2413,71.0,5.6,894-1910,.468,26.3,232-600,.387,6.8,393-539,.729,11.6,1178,34.6,1.6,568,16.7,434,12.8,-0.6,1.3,13.1,188,5.5,152,4.5,253623,"16-15,851",2010-11
1,Opponents,2222,65.4,--,780-1931,.404,22.9,205-672,.305,6.0,457-632,.723,13.4,1122,33.0,--,415,12.2,413,12.1,--,1.0,12.2,191,5.6,95,2.8,129659,"10-12,966",2010-11
0,Illinois,2098,65.6,1.3,767-1741,.441,24.0,186-611,.304,5.8,378-529,.715,11.8,1045,32.7,1.3,400,12.5,430,13.4,-0.2,0.9,13.8,162,5.1,132,4.1,254595,"17-14,976",2011-12
1,Opponents,2055,64.2,--,712-1659,.429,22.3,208-549,.379,6.5,423-601,.704,13.2,1002,31.3,--,379,11.8,425,13.3,--,0.9,12.9,200,6.3,78,2.4,133294,"10-13,329",2011-12
0,Illinois,2465,68.5,3.7,858-2084,.412,23.8,280-873,.321,7.8,469-646,.726,13.0,1215,33.8,-1.1,365,10.1,411,11.4,2.8,0.9,16.1,245,6.8,142,3.9,237077,"16-14,817",2012-13
1,Opponents,2332,64.8,--,810-1911,.424,22.5,232-679,.342,6.4,480-684,.702,13.3,1256,34.9,--,432,12.0,511,14.2,--,0.8,11.7,199,5.5,110,3.1,134076,"11-12,189",2012-13
0,Illinois,2248,64.2,2.1,797-1941,.411,22.8,210-662,.317,6.0,444-606,.733,12.7,1181,33.7,0.5,351,10.0,364,10.4,1.4,1.0,13.5,215,6.1,127,3.6,243931,"16-15,246",2013-14
1,Opponents,2176,62.2,--,771-1833,.421,22.0,221-645,.343,6.3,413-590,.700,11.8,1162,33.2,--,390,11.1,412,11.8,--,0.9,11.7,171,4.9,124,3.5,156351,"13-12,027",2013-14
0,Illinois,2281,69.1,5.5,786-1903,.413,23.8,238-670,.355,7.2,471-593,.794,14.3,1134,34.4,0.6,389,11.8,328,9.9,2.9,1.2,14.5,208,6.3,105,3.2,234435,"16-14,652",2014-15
1,Opponents,2100,63.6,--,751-1784,.421,22.8,211-642,.329,6.4,387-542,.714,11.7,1115,33.8,--,385,11.7,425,12.9,--,0.9,9.8,160,4.8,109,3.3,135509,"11-12,319",2014-15
0,Illinois,2452,72.1,-2.6,861-1993,.432,25.3,277-764,.363,8.1,453-607,.746,13.3,1076,31.6,-5.5,463,13.6,357,10.5,2.9,1.3,14.7,199,5.9,65,1.9,165409,"13-12,724",2015-16
1,Opponents,2542,74.8,--,930-2013,.462,27.4,298-773,.386,8.8,384-534,.719,11.3,1262,37.1,--,503,14.8,454,13.4,--,1.1,11.3,169,5.0,124,3.6,121120,"10-12,112",2015-16
0,Illinois,2508,71.7,2.6,898-2019,.445,25.7,270-731,.369,7.7,442-643,.687,12.6,1217,34.8,1.6,472,13.5,433,12.4,0.4,1.1,14.5,197,5.6,83,2.4,216257,"19-11,382",2016-17
1,Opponents,2417,69.1,--,869-2002,.434,24.8,245-734,.334,7.0,434-597,.727,12.4,1161,33.2,--,396,11.3,448,12.8,--,0.9,13.3,186,5.3,97,2.8,125223,"10-12,522",2016-17
0,Illinois,2426,75.8,2.0,856-1949,.439,26.8,236-705,.335,7.4,478-653,.732,14.9,1053,32.9,-0.3,442,13.8,427,13.3,3.6,1.0,18.8,240,7.5,69,2.2,227051,"18-12,614",2017-18
1,Opponents,2362,73.8,--,788-1669,.472,24.6,200-582,.344,6.3,586-802,.731,18.3,1063,33.2,--,410,12.8,543,17.0,--,0.8,13.8,203,6.3,150,4.7,139648,"11-12,695",2017-18
0,Illinois,2398,72.7,-2.6,862-2001,.431,26.1,259-751,.345,7.8,415-591,.702,12.6,1088,33.0,-3.5,446,13.5,435,13.2,2.5,1.0,15.7,245,7.4,86,2.6,194018,"15-12,935",2018-19
1,Opponents,2483,75.2,--,849-1834,.463,25.7,214-650,.329,6.5,571-777,.735,17.3,1205,36.5,--,451,13.7,517,15.7,--,0.9,13.5,193,5.8,121,3.7,123031,"10-12,303",2018-19
0,Illinois,2239,72.2,6.9,811-1831,.443,26.2,175-566,.309,5.6,442-607,.728,14.3,1224,39.5,7.5,411,13.3,376,12.1,-0.5,1.1,12.4,151,4.9,89,2.9,234730,"18-13,041",2019-20
1,Opponents,2024,65.3,--,758-1825,.415,24.5,200-602,.332,6.5,308-426,.723,9.9,991,32.0,--,351,11.3,361,11.6,--,1.0,11.5,179,5.8,100,3.2,152367,"12-12,697",2019-20
0,Illinois,2497,80.5,11.9,909-1819,.500,29.3,203-544,.373,6.5,476-690,.690,15.4,1239,40.0,9.6,506,16.3,405,13.1,-1.5,1.2,13.5,176,5.7,87,2.8,2164,13-166,2020-21
1,Opponents,2128,68.6,--,770-1873,.411,24.8,201-611,.329,6.5,387-563,.687,12.5,942,30.4,--,347,11.2,360,11.6,--,1.0,11.8,208,6.7,119,3.8,886,12-74,2020-21
0,Illinois,2456,74.4,7.2,863-1925,.448,26.2,295-821,.359,8.9,435-616,.706,13.2,1271,38.5,5.5,501,15.2,408,12.4,-1.7,1.2,12.0,171,5.2,99,3.0,235044,"16-14,690",2021-22
1,Opponents,2218,67.2,--,816-1977,.413,24.7,187-586,.319,5.7,399-558,.715,12.1,1089,33.0,--,337,10.2,351,10.6,--,1.0,12.7,218,6.6,96,2.9,138020,"11-12,547",2021-22
0,Illinois,2452,74.3,7.2,874-1946,.449,26.5,251-815,.308,7.6,453-667,.679,13.7,1248,37.8,4.0,409,12.4,426,12.9,0.1,1.0,14.5,229,6.9,186,5.6,256539,"17-15,091",2022-23
1,Opponents,2216,67.2,--,804-1934,.416,24.4,197-589,.334,6.0,411-583,.705,12.5,1115,33.8,--,353,10.7,429,13.0,--,0.8,14.2,228,6.9,93,2.8,131783,"10-13,178",2022-23
0,Illinois,3168,83.4,10.0,1104-2356,.469,29.1,317-908,.349,8.3,643-874,.736,16.9,1554,40.9,7.8,506,13.3,402,10.6,-1.9,1.3,11.3,166,4.4,143,3.8,269826,"18-14,990",2023-24
1,Opponents,2787,73.3,--,1044-2418,.432,27.5,233-684,.341,6.1,466-646,.721,12.3,1259,33.1,--,458,12.1,331,8.7,--,1.4,11.2,217,5.7,122,3.2,143763,"11-13,069",2023-24
0,Illinois,2927,83.6,8.8,1006-2233,.451,28.7,330-1054,.313,9.4,585-768,.762,16.7,1492,42.6,9.1,520,14.9,409,11.7,-2.7,1.3,10.1,150,4.3,147,4.2,256543,"17-15,091",2024-25
1,Opponents,2619,74.8,--,972-2298,.423,27.8,236-702,.336,6.7,439-619,.709,12.5,1173,33.5,--,446,12.7,315,9.0,--,1.4,13.2,235,6.7,103,2.9,115085,"10-11,509",2024-25
